model N shards sec
0 1000 1 1
0 1000 1 0
0 1000 1 0
0 1000 1 0
0 1000 1 0
0 1000 1 0
0 1000 1 0
0 1000 1 0
0 1000 1 0
0 1000 1 0
0 1000 1 61
0 1000 1 64
0 1000 1 62
0 1000 1 63
0 1000 1 66
1 1000 4 33
1 1000 4 28
1 1000 4 28
1 1000 4 28
2 1000 4 140
1 1000 4 28
1 1000 4 29
1 1000 4 29
1 1000 4 30
2 1000 4 96
1 1000 4 28
1 1000 4 31
2 1000 4 94
2 1000 4 92
2 1000 4 95
2 1000 4 93
2 1000 4 91
2 1000 4 94
2 1000 4 94
2 1000 4 95
2 1000 16 90
2 1000 16 88
2 1000 16 90
2 1000 16 94
2 1000 16 89
2 1000 16 91
2 1000 16 92
2 1000 16 88
2 1000 16 91
2 1000 16 91
1 5000 4 123
1 5000 4 119
1 5000 4 124
1 5000 4 221
1 5000 4 123
1 5000 4 120
1 5000 4 123
1 5000 4 128
1 5000 4 125
1 5000 4 127
2 5000 4 444
2 5000 4 436
2 5000 4 432
2 5000 4 425
2 5000 4 441
2 5000 4 447
2 5000 4 444
2 1000 8 95
2 1000 8 96
2 1000 8 92
2 1000 8 89
2 5000 4 450
2 1000 8 96
2 5000 16 444
2 1000 8 95
2 1000 8 94
2 1000 8 93
0 5000 1 322
2 1000 8 93
2 5000 4 460
2 1000 8 94
2 5000 16 454
0 5000 1 318
2 5000 4 442
2 5000 16 439
0 5000 1 318
0 5000 1 316
2 5000 16 430
0 5000 1 328
2 5000 16 424
2 5000 16 442
2 5000 16 445
2 5000 16 444
2 5000 16 455
2 5000 16 442
1 10000 4 268
2 5000 8 484
1 10000 4 243
1 10000 4 261
0 10000 1 679
2 5000 8 498
2 10000 4 945
1 10000 4 259
2 10000 16 895
1 10000 4 254
2 5000 8 467
0 10000 1 657
1 10000 4 250
2 10000 8 1448
1 10000 4 250
1 20000 4 514
2 10000 16 858
2 10000 4 934
2 5000 8 473
0 10000 1 644
1 10000 4 408
1 20000 4 491
2 5000 8 479
2 10000 8 883
1 10000 4 245
0 20000 1 1261
1 10000 4 273
0 10000 1 647
2 10000 16 894
1 20000 4 505
2 10000 4 966
2 5000 8 495
2 20000 16 1887
2 20000 4 1968
1 20000 4 500
2 10000 8 912
2 5000 8 480
0 10000 1 678
2 10000 16 886
1 20000 4 487
2 10000 4 954
2 5000 8 487
0 20000 1 1243
2 10000 8 897
1 20000 4 512
2 5000 8 482
2 10000 16 851
2 10000 4 930
1 20000 4 494
2 5000 8 474
2 10000 8 903
0 20000 1 1273
2 20000 16 1941
2 20000 4 1978
1 20000 4 508
2 10000 16 913
2 20000 8 1954
2 10000 4 897
1 20000 4 478
2 10000 8 921
1 20000 4 503
2 10000 16 877
0 20000 1 1297
2 10000 4 905
2 10000 8 855
2 20000 4 1892
2 10000 16 878
2 10000 4 914
2 20000 8 1878
0 20000 1 1263
2 10000 8 914
2 10000 16 928
2 10000 4 927
2 10000 8 896
2 10000 16 854
2 20000 16 3917
2 20000 4 1964
2 20000 8 1825
2 10000 4 916
2 10000 8 885
2 20000 16 1764
2 20000 4 1980
2 20000 8 1838
2 20000 16 1848
2 20000 8 1795
2 20000 4 1966
2 20000 16 1776
2 20000 8 1859
2 20000 4 2033
2 20000 16 1765
2 20000 8 1836
2 20000 4 2079
2 20000 16 1791
2 20000 8 1836
2 20000 4 2062
2 20000 16 1861
2 20000 8 1948
2 20000 4 2031
2 20000 16 1769
1 1000 16 17
1 1000 16 13
1 1000 16 14
1 1000 16 13
1 1000 16 16
1 1000 16 15
1 5000 16 40
1 1000 16 14
1 1000 16 14
1 1000 16 13
1 5000 16 43
1 1000 16 11
1 5000 16 39
1 5000 16 41
1 5000 16 38
1 5000 16 39
1 5000 16 36
1 5000 16 41
1 5000 16 43
1 5000 16 40
2 20000 8 1847
1 1000 8 20
1 1000 8 17
1 1000 8 17
1 1000 8 24
1 1000 8 58
1 1000 8 14
1 1000 8 17
1 1000 8 19
1 10000 16 136
1 1000 8 16
1 1000 8 18
1 10000 16 88
1 5000 8 69
1 10000 16 67
1 5000 8 67
1 10000 16 69
1 20000 16 136
1 5000 8 70
1 10000 16 68
1 5000 8 71
1 10000 16 71
1 20000 16 131
1 5000 8 69
1 10000 16 76
1 5000 8 66
1 10000 16 68
1 20000 16 131
1 5000 8 67
1 10000 16 68
1 5000 8 69
1 10000 16 71
1 20000 16 127
1 5000 8 72
1 10000 8 137
1 5000 8 70
1 20000 16 130
1 20000 8 254
1 10000 8 132
1 20000 16 141
1 10000 8 132
1 20000 8 255
1 10000 8 130
1 20000 16 310
1 10000 8 124
1 20000 8 249
1 20000 16 132
1 10000 8 133
1 20000 16 144
1 10000 8 142
1 20000 8 247
1 20000 16 132
1 10000 8 134
1 10000 8 135
1 20000 8 259
1 10000 8 130
1 20000 8 263
1 20000 8 256
1 20000 8 250
1 20000 8 254
1 20000 8 534
2 1000 16 13
2 1000 4 26
2 1000 16 13
2 1000 16 14
2 1000 4 25
2 1000 16 14
2 1000 16 13
2 1000 4 26
2 1000 16 13
2 1000 16 13
2 1000 8 30
2 1000 4 26
2 1000 16 13
2 1000 16 17
2 1000 4 24
2 1000 8 33
2 1000 16 14
2 1000 4 27
2 1000 8 31
2 5000 16 48
2 1000 4 25
2 1000 8 32
2 1000 4 25
2 5000 16 47
2 1000 8 33
2 1000 4 26
2 1000 8 31
2 1000 4 25
2 5000 16 49
2 1000 8 30
2 5000 16 47
2 1000 8 32
2 1000 8 33
2 5000 16 44
2 1000 8 50
2 5000 16 47
2 5000 4 129
2 5000 16 49
2 5000 16 46
2 5000 16 48
2 5000 8 142
2 10000 16 88
2 5000 16 47
2 10000 16 86
2 5000 4 246
2 5000 8 133
2 10000 16 91
2 5000 4 127
2 5000 8 137
2 10000 16 83
2 5000 4 127
2 10000 16 90
2 5000 8 138
2 10000 16 91
2 5000 4 131
2 10000 16 86
2 5000 8 142
2 5000 4 130
2 10000 16 86
2 5000 8 142
2 10000 16 128
2 5000 4 142
2 5000 8 141
2 10000 16 89
2 5000 4 135
2 5000 8 142
2 5000 4 131
2 5000 8 131
2 5000 4 131
2 20000 16 176
2 5000 8 144
2 10000 4 331
2 20000 16 160
2 20000 4 530
2 10000 8 252
2 20000 16 168
2 10000 4 319
2 20000 16 158
2 10000 8 257
2 20000 16 174
2 10000 4 328
2 20000 16 173
2 10000 8 274
2 20000 4 601
2 20000 16 168
2 10000 8 268
2 20000 16 166
2 10000 4 436
2 20000 16 166
2 10000 8 256
2 20000 16 167
2 20000 4 650
2 10000 4 390
2 10000 8 301
2 10000 8 297
2 10000 4 434
2 20000 4 642
2 10000 8 287
2 10000 4 424
2 10000 8 265
2 10000 8 274
2 20000 4 688
2 10000 4 760
2 20000 4 702
2 10000 4 425
2 10000 4 440
2 20000 4 772
2 20000 4 690
2 20000 4 651
2 20000 4 675
2 20000 8 368
2 20000 8 345
2 20000 8 372
2 20000 8 478
